,WEI,WEI29,WEI28,Year,Month,Day
666,-3.99,-4.03,,2020,10,10
667,-3.98,-4.01,,2020,10,17
668,-3.46,-3.49,,2020,10,24
669,-3.14,-3.16,,2020,10,31
670,-2.92,-2.95,,2020,11,7
671,-2.91,-2.93,,2020,11,14
672,-2.83,-2.86,,2020,11,21
673,-2.05,-2.07,,2020,11,28
674,-2.43,-2.45,,2020,12,5
675,-2.67,-2.69,,2020,12,12
676,-1.9,-1.91,,2020,12,19
677,-0.61,-0.61,,2020,12,26
678,-1.84,-1.85,,2021,1,2
679,-1.61,-1.62,,2021,1,9
680,-1.93,-1.94,,2021,1,16
681,-1.87,-1.88,,2021,1,23
682,-1.87,-1.88,,2021,1,30
683,-1.97,-1.98,,2021,2,6
684,-1.42,-1.43,,2021,2,13
685,-2.64,-2.66,,2021,2,20
686,-1.54,-1.55,,2021,2,27
687,-0.74,-0.74,,2021,3,6
688,-0.33,-0.33,,2021,3,13
689,4.47,4.52,,2021,3,20
690,8.04,8.13,,2021,3,27
691,9.74,9.85,,2021,4,3
692,11.68,11.81,,2021,4,10
693,11.83,11.97,,2021,4,17
694,11.87,12.01,,2021,4,24
695,11.85,11.98,,2021,5,1
696,11.24,11.37,,2021,5,8
697,11.25,11.38,,2021,5,15
698,11.17,11.29,,2021,5,22
699,11.09,11.22,,2021,5,29
700,9.86,9.98,,2021,6,5
701,10.37,10.49,,2021,6,12
702,10.09,10.21,,2021,6,19
703,9.83,9.95,,2021,6,26
704,10.18,10.29,,2021,7,3
705,8.48,8.59,,2021,7,10
706,8.93,8.66,,2021,7,17
707,8.97,8.54,,2021,7,24
708,8.81,,,2021,7,31
709,8.1,,,2021,8,7
710,8.49,,,2021,8,14
711,7.32,,,2021,8,21
